
001,フシギダネ,Bulbasaur,45,49,49,65,65,45,318,くさ,どく,しんりょく (ようりょくそ),0.7,6.9/f
002,フシギソウ,Ivysaur,60,62,63,80,80,60,405,くさ,どく,しんりょく (ようりょくそ),1.0,13.0/e
003,フシギバナ,Venusaur,80,82,83,100,100,80,525,くさ,どく,しんりょく (ようりょくそ),2.0,100.0/b
003-1,メガフシギバナ,Mega Venusaur,80,100,123,122,120,80,625,くさ,どく,あついしぼう,2.4,155.5/b
004,ヒトカゲ,Charmander,39,52,43,60,50,65,309,ほのお,,もうか (サンパワー),0.6,8.5/f
005,リザード,Charmeleon,58,64,58,80,65,80,405,ほのお,,もうか (サンパワー),1.1,19.0/e
006,リザードン,Charizard,78,84,78,109,85,100,534,ほのお,ひこう,もうか (サンパワー),1.7,90.5/c
006-1,メガリザードンX,Mega Charizard X,78,130,111,130,85,100,634,ほのお,ドラゴン,かたいツメ,1.7,110.5/b
006-2,メガリザードンY,Mega Charizard Y,78,104,78,159,115,100,634,ほのお,ひこう,ひでり,1.7,100.5/b
007,ゼニガメ,Squirtle,44,48,65,50,64,43,314,みず,,げきりゅう (あめうけざら),0.5,9.0/f
008,カメール,Wartortle,59,63,80,65,80,58,405,みず,,げきりゅう (あめうけざら),1.0,22.5/e
009,カメックス,Blastoise,79,83,100,85,105,78,530,みず,,げきりゅう (あめうけざら),1.6,85.5/c
009-1,メガカメックス,Mega Blastoise,79,103,120,135,115,78,630,みず,,メガランチャー,1.6,101.1/b
010,キャタピー,Caterpie,45,30,35,20,20,45,195,むし,,りんぷん (にげあし),0.3,2.9/f
011,トランセル,Metapod,50,20,55,25,25,30,205,むし,,だっぴ,0.7,9.9/f
012,バタフリー,Butterfree,60,45,50,90,80,70,395,むし,ひこう,ふくがん (いろめがね),1.1,32.0/d
013,ビードル,Weedle,40,35,30,20,20,50,195,むし,どく,りんぷん (にげあし),0.3,3.2/f
014,コクーン,Kakuna,45,25,50,25,25,35,205,むし,どく,だっぴ,0.6,10.0/e
015,スピアー,Beedrill,65,90,40,45,80,75,395,むし,どく,むしのしらせ (スナイパー),1.0,29.5/d
015-1,メガスピアー,Mega Beedrill,65,150,40,15,80,145,495,むし,どく,てきおうりょく,1.4,40.5/d
016,ポッポ,Pidgey,40,45,40,35,35,56,251,ノーマル,ひこう,するどいめ ちどりあし (はとむね),0.3,1.8/f
017,ピジョン,Pidgeotto,63,60,55,50,50,71,349,ノーマル,ひこう,するどいめ ちどりあし (はとむね),1.1,30.0/d
018,ピジョット,Pidgeot,83,80,75,70,70,101,479,ノーマル,ひこう,するどいめ ちどりあし (はとむね),1.5,39.5/d
